HGNC_ID	Gene	Ensemble_ID	Entrez_ID	OMIM_ID	Inheritance	Phenotype(s)
HGNC:2903	DLG4	ENSG00000132535	1742	602887	AD	DEE
HGNC:2908	DLL1	ENSG00000198719	28514	606582	AD	DEE, MCD
HGNC:13908	DMRTA2	ENSG00000142700	63950	614804	AR	MCD
HGNC:2938	DMXL2	ENSG00000104093	23312	612186	AR	DEE
HGNC:2945	DNAH14	ENSG00000185842	127602	603341	AR	DEE
HGNC:16235	DNAJC5	ENSG00000101152	80331	611203	AD	PME
HGNC:15469	DNAJC6	ENSG00000116675	9829	608375	AR	DEE
HGNC:2972	DNM1	ENSG00000106976	1759	602377	AD	DEE
HGNC:2973	DNM1L	ENSG00000087470	10059	603850	AD	DEE
HGNC:19190	DOCK7	ENSG00000116641	85440	615730	AR	DEE
HGNC:28662	DOHH	ENSG00000129932	83475	611262	AR	DEE
HGNC:23406	DOLK	ENSG00000175283	22845	610746	AR	DEE
HGNC:2995	DPAGT1	ENSG00000172269	1798	191350	AR	DEE
HGNC:3005	DPM1	ENSG00000000419	8813	603503	AR	DEE
HGNC:3006	DPM2	ENSG00000136908	8818	603564	AR	DEE
HGNC:3007	DPM3	ENSG00000179085	54344	605951	AR	DEE
HGNC:3012	DPYD	ENSG00000188641	1806	612779	AR	DEE
HGNC:17904	DROSHA	ENSG00000113360	29102	608828	AD	DEE
HGNC:2961	DYNC1H1	ENSG00000197102	1778	600112	AD	DEE, MCD
HGNC:2962	DYNC2H1	ENSG00000187240	79659	603297	AD	MCD
HGNC:3091	DYRK1A	ENSG00000157540	1859	600855	AD	DEE
HGNC:29419	EARS2	ENSG00000103356	124454	612799	AR	DEE
HGNC:3151	ECHS1	ENSG00000127884	1892	602292	AR	DEE
HGNC:3153	ECM1	ENSG00000143369	1893	602201	AR	DEE
HGNC:3188	EED	ENSG00000074266	8726	605984	AD	DEE
HGNC:3192	EEF1A2	ENSG00000101210	1917	602959	AD	DEE
HGNC:3208	EEF1B2	ENSG00000114942	1933	600655	AR	DEE
HGNC:30858	EFTUD2	ENSG00000108883	9343	603892	AD	DEE
HGNC:24650	EHMT1	ENSG00000181090	79813	607001	AD	DEE
HGNC:9437	EIF2AK2	ENSG00000055332	5610	176871	AD	DEE, MCD
HGNC:3257	EIF2B1	ENSG00000111361	1967	606686	AR	DEE
HGNC:3258	EIF2B2	ENSG00000119718	8892	606454	AR	DEE
HGNC:3259	EIF2B3	ENSG00000070785	8891	606273	AR	DEE
HGNC:3260	EIF2B4	ENSG00000115211	8890	606687	AR	DEE
HGNC:3261	EIF2B5	ENSG00000145191	8893	603945	AR	DEE
HGNC:3267	EIF2S3	ENSG00000130741	1968	300161	XL	DEE
HGNC:3275	EIF3F	ENSG00000175390	8665	603914	AR	DEE
HGNC:3284	EIF4A2	ENSG00000156976	1974	601102	AD/AR	DEE, MCD
HGNC:14415	ELOVL4	ENSG00000118402	6785	605512	AR	DEE
HGNC:28957	EMC1	ENSG00000127463	23065	616846	AR	DEE
HGNC:27609	EMC10	ENSG00000161671	284361	614545	AR	DEE
HGNC:3330	EML1	ENSG00000066629	2009	602033	AR	MCD
HGNC:3372	EOMES	ENSG00000163508	8320	604615	AR	MCD
HGNC:29331	EPG5	ENSG00000152223	57724	615068	AR	DEE
HGNC:3413	EPM2A	ENSG00000112425	7957	607566	AR	PME
HGNC:21056	ERMARD	ENSG00000130023	55780	615532	AD	MCD
HGNC:17474	ESAM	ENSG00000149564	90952	614281	AR	DEE
HGNC:23287	ETHE1	ENSG00000105755	23474	608451	AR	DEE
HGNC:23214	EXOC7	ENSG00000182473	23265	608163	AR	DEE
HGNC:17944	EXOSC3	ENSG00000107371	51010	606489	AR	DEE
HGNC:3513	EXT2	ENSG00000151348	2132	608210	AR	DEE
HGNC:21197	FA2H	ENSG00000103089	79152	611026	AR	DEE
HGNC:26222	FAR1	ENSG00000197601	84188	616107	AR	DEE
HGNC:21062	FARS2	ENSG00000145982	10667	611592	AR	DEE
HGNC:29160	FASTKD2	ENSG00000118246	22868	612322	AR	DEE
HGNC:13601	FBXL4	ENSG00000112234	26235	605654	AR	DEE
HGNC:13590	FBXO11	ENSG00000138081	80204	607871	AD	DEE
HGNC:29046	FBXO28	ENSG00000143756	23219	609100	AD	DEE, PME
HGNC:29500	FCSK	ENSG00000157353	197258	608675	AR	DEE
HGNC:3629	FDFT1	ENSG00000079459	2222	184420	AR	DEE
HGNC:3668	FGF12	ENSG00000114279	2257	601513	AD	DEE
HGNC:3670	FGF13	ENSG00000129682	2258	300070	XL	DEE
HGNC:3690	FGFR3	ENSG00000068078	2261	134934	AD/AR	DEE, MCD
HGNC:3700	FH	ENSG00000091483	2271	136850	AR	MCD
HGNC:16873	FIG4	ENSG00000112367	9896	609390	AR	DEE, MCD
HGNC:17997	FKRP	ENSG00000181027	79147	606596	AR	DEE
