HGNC_ID	Gene	Ensemble_ID	Entrez_ID	OMIM_ID	Inheritance	Phenotype(s)
NA	DPM1	ENSG00000000419	8813	603503	AR	DEE
NA	DPM2	ENSG00000136908	8818	603564	AR	DEE
NA	DPM3	ENSG00000179085	54344	605951	AR	DEE
NA	DPYD	ENSG00000188641	1806	612779	AR	DEE
NA	DROSHA	ENSG00000113360	29102	608828	AD	DEE
NA	DYNC1H1	ENSG00000197102	1778	600112	AD	DEE, MCD, PME
NA	DYNC2H1	ENSG00000187240	79659	603297	AD	MCD
NA	DYRK1A	ENSG00000157540	1859	600855	AD	DEE
NA	EARS2	ENSG00000103356	124454	612799	AR	DEE
NA	ECHS1	ENSG00000127884	1892	602292	AR	DEE
NA	ECM1	ENSG00000143369	1893	602201	AR	DEE
NA	EED	ENSG00000074266	8726	605984	AD	DEE
NA	EEF1A2	ENSG00000101210	1917	602959	AD	DEE
NA	EEF1B2	ENSG00000114942	1933	600655	AR	DEE
NA	EFTUD2	ENSG00000108883	9343	603892	AD	DEE
NA	EHMT1	ENSG00000181090	79813	607001	AD	DEE
NA	EIF2AK2	ENSG00000055332	5610	176871	AD	DEE, MCD
NA	EIF2B1	ENSG00000111361	1967	606686	AR	DEE
NA	EIF2B2	ENSG00000119718	8892	606454	AR	DEE
NA	EIF2B3	ENSG00000070785	8891	606273	AR	DEE
NA	EIF2B4	ENSG00000115211	8890	606687	AR	DEE
NA	EIF2B5	ENSG00000145191	8893	603945	AR	DEE
NA	EIF2S3	ENSG00000130741	1968	300161	XL	DEE
NA	EIF3F	ENSG00000175390	8665	603914	AR	DEE
NA	EIF4A2	ENSG00000156976	1974	601102	AD/AR	DEE, MCD
NA	ELOVL4	ENSG00000118402	6785	605512	AR	DEE
NA	EMC1	ENSG00000127463	23065	616846	AR	DEE
NA	EMC10	ENSG00000161671	284361	614545	AR	DEE
NA	EML1	ENSG00000066629	2009	602033	AR	MCD
NA	EOMES	ENSG00000163508	8320	604615	AR	MCD
NA	EPG5	ENSG00000152223	57724	615068	AR	DEE
NA	EPM2A	ENSG00000112425	7957	607566	AR	PME
NA	ERMARD	ENSG00000130023	55780	615532	AD	MCD
NA	ESAM	ENSG00000149564	90952	614281	AR	DEE
NA	ETHE1	ENSG00000105755	23474	608451	AR	DEE
NA	EXOC7	ENSG00000182473	23265	608163	AR	DEE
NA	EXOSC3	ENSG00000107371	51010	606489	AR	DEE
NA	EXT2	ENSG00000151348	2132	608210	AR	DEE
NA	FA2H	ENSG00000103089	79152	611026	AR	DEE
HGNC:19829	FAM177A1	ENSG00000151327	283635	619181	AR	DEE
NA	FAR1	ENSG00000197601	84188	616107	AR	DEE
NA	FARS2	ENSG00000145982	10667	611592	AR	DEE
NA	FASTKD2	ENSG00000118246	22868	612322	AR	DEE
NA	FBXL4	ENSG00000112234	26235	605654	AR	DEE
NA	FBXO11	ENSG00000138081	80204	607871	AD	DEE
NA	FBXO28	ENSG00000143756	23219	609100	AD	DEE, PME
NA	FCSK	ENSG00000157353	197258	608675	AR	DEE
NA	FDFT1	ENSG00000079459	2222	184420	AR	DEE
NA	FGF12	ENSG00000114279	2257	601513	AD	DEE
NA	FGF13	ENSG00000129682	2258	300070	XL	DEE
NA	FGFR3	ENSG00000068078	2261	134934	AD/AR	DEE, MCD
NA	FH	ENSG00000091483	2271	136850	AR	MCD
NA	FIG4	ENSG00000112367	9896	609390	AR	DEE, MCD
NA	FKRP	ENSG00000181027	79147	606596	AR	DEE
NA	FKTN	ENSG00000106692	2218	607440	AR	DEE
NA	FLNA	ENSG00000196924	2316	300017	XL	MCD
NA	FLVCR1	ENSG00000162769	28982	609144	AR	DEE
NA	FOLR1	ENSG00000110195	2348	136430	AR	DEE
NA	FOXG1	ENSG00000176165	2290	164874	AD	DEE
NA	FOXP1	ENSG00000114861	27086	605515	AD	DEE
NA	FOXRED1	ENSG00000110074	55572	613622	AR	DEE
NA	FRA10AC1	ENSG00000148690	118924	608866	AR	DEE
NA	FRMD5	ENSG00000171877	84978	616309	AD	DEE
NA	FRRS1L	ENSG00000260230	23732	604574	AR	DEE
NA	FUCA1	ENSG00000179163	2517	612280	AR	DEE
NA	FUT8	ENSG00000033170	2530	602589	AR	DEE
NA	FZR1	ENSG00000105325	51343	603619	AD	DEE
NA	GABBR2	ENSG00000136928	9568	607340	AD	DEE
NA	GABRA1	ENSG00000022355	2554	137160	AD	GGE, DEE
NA	GABRA2	ENSG00000151834	2555	137140	AD	DEE
NA	GABRA3	ENSG00000011677	2556	305660	XL	DEE
NA	GABRA4	ENSG00000109158	2557	137141	AD	DEE
NA	GABRA5	ENSG00000186297	2558	137142	AD	GGE, DEE
NA	GABRB1	ENSG00000163288	2560	137190	AD	DEE
NA	GABRB2	ENSG00000145864	2561	600232	AD	GGE, DEE
NA	GABRB3	ENSG00000166206	2562	137192	AD	GGE, DEE
NA	GABRD	ENSG00000187730	2563	137163	AD	GGE, DEE
NA	GABRG2	ENSG00000113327	2566	137164	AD	GGE, DEE
NA	GAD1	ENSG00000128683	2571	605363	AR	DEE
NA	GALC	ENSG00000054983	2581	606890	AR	DEE
NA	GALNT2	ENSG00000143641	2590	602274	AR	DEE
NA	GAMT	ENSG00000130005	2593	601240	AR	DEE
NA	GATAD2B	ENSG00000143614	57459	614998	AD	DEE
NA	GATM	ENSG00000171766	2628	602360	AR	DEE
NA	GBA1	ENSG00000177628	2629	606463	AR	DEE, PME
NA	GCDH	ENSG00000105607	2639	608801	AR	DEE
NA	GCH1	ENSG00000131979	2643	600225	AD/AR	DEE
NA	GCSH	ENSG00000140905	2653	238330	AR	DEE
NA	GFAP	ENSG00000131095	2670	137780	AD	DEE
NA	GFM1	ENSG00000168827	85476	606639	AR	DEE
NA	GLB1	ENSG00000170266	2720	611458	AR	DEE
NA	GLDC	ENSG00000178445	2731	238300	AR	DEE
NA	GLI3	ENSG00000106571	2737	165240	AD	DEE, MCD
NA	GLS	ENSG00000115419	2744	138280	AR	DEE
NA	GLUD1	ENSG00000148672	2746	138130	AD	DEE
NA	GLUL	ENSG00000135821	2752	138290	AR	DEE
NA	GLYCTK	ENSG00000168237	132158	610516	AR	DEE
NA	GM2A	ENSG00000196743	2760	613109	AR	DEE
NA	GMPPA	ENSG00000144591	29926	615495	AR	DEE
NA	GMPPB	ENSG00000173540	29925	615320	AR	DEE
NA	GNAI1	ENSG00000127955	2770	139310	AD	DEE
NA	GNAO1	ENSG00000087258	2775	139311	AD	DEE
NA	GNB1	ENSG00000078369	2782	139380	AD	DEE
NA	GNB5	ENSG00000069966	10681	604447	AR	DEE
NA	GOSR2	ENSG00000108433	9570	604027	AR	PME
NA	GOT2	ENSG00000125166	2806	138150	AR	DEE
NA	GPAA1	ENSG00000197858	8733	603048	AR	DEE
NA	GPHN	ENSG00000171723	10243	603930	AR	DEE
NA	GPSM2	ENSG00000121957	29899	609245	AR	MCD
NA	GPT2	ENSG00000166123	84706	138210	AR	DEE
NA	GRIA1	ENSG00000155511	2890	138248	AD/AR	DEE
NA	GRIA2	ENSG00000120251	2891	138247	AD	DEE
NA	GRIA3	ENSG00000125675	2892	305915	XL	DEE
NA	GRIA4	ENSG00000152578	2893	138246	AD	DEE
NA	GRIK2	ENSG00000164418	2898	138244	AD/AR	DEE
NA	GRIN1	ENSG00000176884	2902	138249	AD	DEE, MCD
NA	GRIN2A	ENSG00000183454	2903	138253	AD/AR	Focal, DEE, MCD
NA	GRIN2B	ENSG00000273079	2904	138252	AD	DEE, MCD
NA	GRIN2D	ENSG00000105464	2906	602717	AD	DEE
NA	GRM7	ENSG00000196277	2917	604101	AR	DEE
NA	GRN	ENSG00000030582	2896	138945	AR	PME
NA	GSS	ENSG00000100983	2937	601002	AR	DEE
NA	GTPBP2	ENSG00000172432	54676	607434	AR	DEE
NA	GTPBP3	ENSG00000130299	84705	608536	AR	DEE
NA	H3-3A	ENSG00000163041	3020	601128	AD	DEE
NA	H3-3B	ENSG00000132475	3021	601058	AD	DEE
NA	HACE1	ENSG00000085382	57531	610876	AR	DEE
NA	HAX1	ENSG00000143575	10456	605998	AR	DEE, MCD
NA	HCCS	ENSG00000004961	3052	300056	XL	DEE
NA	HCFC1	ENSG00000172534	3054	300019	XL	DEE
NA	HCN1	ENSG00000164588	348980	602780	AD	GGE, DEE
NA	HCN2	ENSG00000099822	610	602781	AD/AR	GGE, DEE
NA	HDAC3	ENSG00000171720	8841	605166	AD	DEE
NA	HDAC8	ENSG00000147099	55869	300269	XL	DEE
NA	HECW2	ENSG00000138411	57520	617245	AD	DEE
NA	HEPACAM	ENSG00000165478	220296	611642	AR	DEE
NA	HERC2	ENSG00000128731	8924	605837	AR	DEE
NA	HEXA	ENSG00000213614	3073	606869	AR	DEE
NA	HEXB	ENSG00000049860	3074	606873	AR	DEE
NA	HID1	ENSG00000167861	283987	605752	AR	DEE
NA	HIVEP2	ENSG00000010818	3097	143054	AD	DEE
NA	HK1	ENSG00000156515	3098	142600	AD	DEE
